,Name,Price,Rating,Review,URL
69,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),399,Null,Null,https://www.amazon.com/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-72
70,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),"1,399",4.3,"6,662",https://www.amazon.com/HEROZ-Hammer-Durable-Travel-Laptop/dp/B07MGDFT9C/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-73
71,Baggit Women Saddle Handbag (BLACK),582,4.1,18,https://www.amazon.com/Baggit-JCEY-M/dp/B09P43KTRT/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=8-74
72,Kuber Industries Disney Mickey Mouse Print 14 inch Waterproof Polyester School Bag/Backpack for Kids (Black)-KUBMART3442,496,4.0,214,https://www.amazon.com/Kuber-Industries-Waterproof-Polyester-KUBMART3442/dp/B08FRKTN12/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&smid=A2AL6IVND0I91F&sprefix=ba%2Caps%2C283&sr=8-77
73,Gear Carryon Backpack Black- Blue (BKPCARYON0110),189,3.7,"4,643",https://www.amazon.com/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-78
74,Gear 21 Ltrs Black Grey Casual Backpack (MDBKPECO50104),416,3.8,"1,679",https://www.amazon.com/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-79
75,DIXON Synthetic Leather Casual Travel Chain Shoulder Deatachable Slingbag For Women,399,4.1,"1,293",https://www.amazon.com/DIXON-Synthetic-Shoulder-Deatachable-Slingbag/dp/B08ZNC3JM9/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-80
76,"Golden Wolf Laptop Bag,Business Anti Theft Backpack with Lock,Water Resistant College School Laptop Backpack with Rain Cover and USB Charging Port Earphone Port,Backpack Gifts for 15.6 inch Laptop 25 L Travel Bag For Women & Men,Dark Grey","1,756",4.4,"2,448",https://www.amazon.com/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&smid=A1NO7NQ7CMFIEG&sprefix=ba%2Caps%2C283&sr=8-81
77,"Northzone Men's and Women's Stylish Lightweight Casual Travel Laptop Bag for School, College, Office (Navy Blue)",569,4.3,47,https://www.amazon.com/Northzone-Storage-Trending-Backpack-School/dp/B08FMSRJCL/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-82
78,Laxella Casual Waterproof Lightweight Laptop Bag/Backpack for Men & Boys /Office School College Teens & Students.(Packof 1),470,3.4,101,https://www.amazon.com/Laxella-Waterproof-Lightweight-Backpack-Students/dp/B093DRDJD4/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-83
79,Medium 15 L TUITION BAG AND COLLEGE BAG FOR GIRLS-B,429,5.0,1,https://www.amazon.com/Medium-TUITION-COLLEGE-GIRLS-Navy/dp/B09Z6TSKT3/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1658673185&sprefix=ba%2Caps%2C283&sr=8-84
80,Medium 15 L TUITION BAG AND COLLEGE BAG FOR GIRLS-B,429,5.0,1,https://www.amazon.com/Medium-TUITION-COLLEGE-GIRLS-Navy/dp/B09Z6TSKT3/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-83
81,"POLESTAR Xplore 55 L Hiking/ Trekking/ Camping/ Travelling Rucksack Backpack with rain cover, shoe compartment, water resistant, made with polyester, 1 year warranty",822,4.1,"10,087",https://www.amazon.com/gp/bestsellers/luggage/1984997031/ref=sr_bs_3_1984997031_1
82,Martucci 16 inch 36L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,639,5.0,11,https://www.amazon.com/Martucci-Waterproof-Backpack-College-Business/dp/B0B1GHRTFF/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-85
83,Gear Triumph Backpack Navy Blue-Beige (BKPTRMP520522),895,4.2,"4,864",https://www.amazon.com/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-86
84,The Clownfish Ashton Unisex Polyester Slim 15.6 inch Laptop Bag Briefcase (Grey),699,3.4,10,https://www.amazon.com/Clownfish-Ashton-Unisex-Polyester-Briefcase/dp/B091L6BPX5/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-87
85,Hyper Adam 65 LTR Rucksack Travel Backpack for Outdoor Sport Hiking Trekking Bag Camping Rucksack,999,4.2,"3,355",https://www.amazon.com/Hyper-Adam-Rucksack-Backpack-Trekking/dp/B07PJCH3VZ/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&smid=A1EX79XG5O2VE5&sprefix=ba%2Caps%2C283&sr=8-88
86,"ZIPLINE Synthetic Leather Executive SMALL messenger bag for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",827,4.0,213,https://www.amazon.com/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&smid=AE2F1YGE1DB7K&sprefix=ba%2Caps%2C283&sr=8-89
87,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- All) (Grey & Red),"1,371",4.1,"3,214",https://www.amazon.com/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N53TWB/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-90
88,The Westzone Regular Hi Storage 25 L Waterproof Rain Cover Laptop Backpack (Navy Blue Ct),639,3.9,817,https://www.amazon.com/regular-waterproof-storage-college-Backpack/dp/B08BYSL2ZT/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-93
89,LL LEATHER LAND DESIGNER BAGS Sling Bag_SLG_90,299,4.1,977,https://www.amazon.com/Leather-Land-Girls-Sling-Bag/dp/B07T9ML9ZB/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-94
90,"Fast Travel 45 Ltrs, 46 cms School Bag Class 5-12 Large 4 partition Laptop Collage Office Travel Backpack Unisex",745,4.1,220,https://www.amazon.com/Fast-Travel-partition-Collage-Backpack/dp/B09VCLQ9H3/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-95
91,HEROZ Harbour Unisex Nylon 28 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 15.6 Inch Laptop Notebook (153-ALL) (Air Force Blue),790,4.1,"5,897",https://www.amazon.com/HEROZ-Backpack-Resistant-Notebook-Airforce/dp/B07MCRHSVP/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-96
92,"Vayu Enterprise Toddlers Pikachu Kids School Bag Cute Backpacks for Girls/Boys/Animal Cartoon Mini Travel Bag Backpack for Kids Girl Boy 2-6 Years (Yellow), Pack of 1",169,3.8,39,https://www.amazon.com/Enterprise-Toddlers-Pikachu-Backpacks-Backpack/dp/B09MHF2R1X/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-97
93,Right Choice Laptop backpack multicolor unisex bag,499,3.2,75,https://www.amazon.com/Choice-Laptop-backpack-multicolor-unisex/dp/B09QMMR63Q/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&sprefix=ba%2Caps%2C283&sr=8-98
94,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,"1,240",4.2,"1,152",https://www.amazon.com/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D2ZFX/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&smid=A20PVHIS8DLHRJ&sprefix=ba%2Caps%2C283&sr=8-99
95,Beauty Girls®-1522 Polyester Floral printed Designer Stylish Waterproof School/Collage/Picnic Bag-Backpack For Girls & Women (32 Lit),869,4.1,379,https://www.amazon.com/Girls-1522-Polyester-Designer-Waterproof-Bag-Backpack/dp/B08F9SFYXQ/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1658673187&smid=A2II2NOIORNN01&sprefix=ba%2Caps%2C283&sr=8-100
96,Comfabie 35 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,749,3.9,32,https://www.amazon.com/Comfabie-Casual-Waterproof-Laptop-Bag/dp/B0B2LXQWM5/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-99
97,Beauty Girls®-1522 Polyester Floral printed Designer Stylish Waterproof School/Collage/Picnic Bag-Backpack For Girls & Women (32 Lit),869,4.1,379,https://www.amazon.com/Girls-1522-Polyester-Designer-Waterproof-Bag-Backpack/dp/B08F9SFYXQ/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=A2II2NOIORNN01&sprefix=ba%2Caps%2C283&sr=8-100
98,ICEMART 25 L Waterproof Laptop Bag/Backpack for Men;Women;Boys;Girls/Office School College,549,3.7,30,https://www.amazon.com/ICEMART-Waterproof-Laptop-Backpack-College/dp/B09LVP487G/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-101
99,"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",749,4.1,653,https://www.amazon.com/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_102?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-102
100,Right Choice Laptop backpack multicolor unisex bag,499,3.2,75,https://www.amazon.com/Choice-Laptop-backpack-multicolor-unisex/dp/B09QMNYRVL/ref=sr_1_103?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-103
101,Pramadda Pure Luxury Mini Faux Leather Mobile Sling Bag For Women | Stylish Side Shoulder Crossbody Bags For Girls Daily Use | Messenger Purse With Waist Bag 2 in 1 | Latest Trendy Handbags.,465,4.6,446,https://www.amazon.com/Pramadda-Pure-Luxury-Crossbody-Messenger/dp/B09RKKGQVR/ref=sr_1_104?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=A3NMIEVYR1VO0Z&sprefix=ba%2Caps%2C283&sr=8-104
102,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,249,3.6,"6,391",https://www.amazon.com/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_105?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-105
103,Priority Disney Snow White 20 litres Pink Polyester Kids School Bag | Casual Backpack for Girls (25156),383,3.8,"11,375",https://www.amazon.com/Priority-Disney-Princess-Casual-Backpack/dp/B0849PHNG1/ref=sr_1_106?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-106
104,Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),"1,099",3.7,315,https://www.amazon.com/Safari-Swagpack-Backpack-Compartments-Raincover/dp/B09B25QMKY/ref=sr_1_109?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-109
105,KLEIO Quilted Travelling Crossbody Sling Bag For Women/Girls (HO8030KL),"1,168",4.4,114,https://www.amazon.com/KLEIO-Quilted-Travelling-Crossbody-HO8030KL-BL/dp/B09KXD6KTZ/ref=sr_1_110?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=ADZ4UR3C94Q2E&sprefix=ba%2Caps%2C283&sr=8-110
106,Comfabie 35 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,749,3.9,32,https://www.amazon.com/Comfabie-Casual-Waterproof-Laptop-Bag/dp/B0B1XJWJ37/ref=sr_1_111?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-111
107,Dein Kleider Nylon Sling Cross Body Utility Travel Office Business Messenger one Side Shoulder Bag for Men and Women,289,4.1,114,https://www.amazon.com/Kleider-Utility-Business-Messenger-Shoulder/dp/B09RQNP9KT/ref=sr_1_112?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=A2B3JTOLC77ES8&sprefix=ba%2Caps%2C283&sr=8-112
108,Lavie Sport Swing 34 litres Casual Backpack | School College Bag for Boys & Girls,769,4.2,101,https://www.amazon.com/Lavie-Sport-Maroon-Casual-Backpack/dp/B083KSWS2J/ref=sr_1_113?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-113
109,"Genie Chekmex Backpack for Women - 2 compartments, School Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",459,4.5,18,https://www.amazon.com/Genie-Chekmex-Backpack-Women-compartments/dp/B097JHTGGP/ref=sr_1_114?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&sprefix=ba%2Caps%2C283&sr=8-114
110,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",449,3.9,"8,654",https://www.amazon.com/Fur-Jaden-Charging-Waterproof-BM36_RedZip/dp/B07P7ZNQPF/ref=sr_1_115?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-115
111,Baggit Women's Sling Bag,771,4.2,97,https://www.amazon.com/Baggit-2121619-Womens-Western-Pink/dp/B09929PM71/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1658673188&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=8-116
112,Blue Tree School Bag for Kids Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Full Body Elephant & New Pink Panda),399,Null,Null,https://www.amazon.com/School-Backpack-Cartoon-Toddler-Elephant/dp/B08YP6HYJL/ref=sr_1_115?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-115
113,"Genie Chekmex Backpack for Women - 2 compartments, School Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",459,4.5,18,https://www.amazon.com/Genie-Chekmex-Backpack-Women-compartments/dp/B097JHTGGP/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-116
114,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",449,3.9,"8,654",https://www.amazon.com/Fur-Jaden-Charging-Waterproof-BM36_RedZip/dp/B07P7ZNQPF/ref=sr_1_117?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-117
115,SBSB Kids Nursary School Bag Soft PlushVelvet Backpacks Cartoon Baby Boy/Girl (2-5 Years) PADAY_BAG_9,178,3.4,162,https://www.amazon.com/Nursary-PlushVelvet-Backpacks-Cartoon-PADAY_BAG_9/dp/B0926623N8/ref=sr_1_118?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-118
116,"Tatuaa Small 35 L Laptop Backpack Laptop Bag for 13/14/15.6 Inch, Slim durable Travel Backpacks",749,Null,Null,https://www.amazon.com/Tatuaa-Laptop-Backpack-durable-Backpacks/dp/B0B5MT1HQK/ref=sr_1_119?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-119
117,Baggit Women's Sling Bag,771,4.2,97,https://www.amazon.com/Baggit-2121619-Womens-Western-Pink/dp/B09929PM71/ref=sr_1_120?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=8-120
118,"BALIXO Laptop Backpack 15.6 Inch, Water-Repellent, Lightweight Design, Sleek for Travel, Business Casual or College, for Men or Women",399,3.6,25,https://www.amazon.com/BALIXO-Casual-Backpack-Water-Repellent-Lightweight/dp/B09T6P8B5J/ref=sr_1_121?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-121
119,Right Choice Laptop backpack multicolor unisex bag,499,3.2,75,https://www.amazon.com/Choice-Laptop-backpack-multicolor-unisex/dp/B09QMNCWMN/ref=sr_1_122?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-122
120,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- All) (Grey & Navy Blue),"1,499",4.1,"3,214",https://www.amazon.com/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N3DCTM/ref=sr_1_125?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-125
121,Fiesto Fashion Women's Handbag With Sling Bag (Set of 2) (FF0719004_Black),551,3.8,44,https://www.amazon.com/Fiesto-Fashion-Womens-Handbag-Sling/dp/B07V5N6XGB/ref=sr_1_126?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-126
122,Beauty Girls®-1523 Polyester Floral printed Designer Stylish Waterproof School/Collage/Picnic Bag-Backpack For Girls & Women (32 Lit),929,4.3,207,https://www.amazon.com/Girls-1523-Polyester-Designer-Waterproof-Bag-Backpack/dp/B08F9YVKT1/ref=sr_1_127?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&smid=A2II2NOIORNN01&sprefix=ba%2Caps%2C283&sr=8-127
123,Caprese Women's Tote bag,833,4.2,177,https://www.amazon.com/Caprese-Womens-Tote-bag-Olive/dp/B09FT317W6/ref=sr_1_128?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=8-128
124,"Mount Track Rucksack, Hiking & Trekking backpack 70 Ltrs Navy Blue","1,410",4.7,3,https://www.amazon.com/Mount-Rucksack-Hiking-Trekking-backpack/dp/B08D9N8FQY/ref=sr_1_129?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&smid=A1Y3ZYKOY32RKT&sprefix=ba%2Caps%2C283&sr=8-129
125,"TRAWOC 65 L Travel Backpack for Hiking Trekking Bag Camping Rucksack with Rain Cover / Shoe Compartment MHK002, 1 Year Warranty","1,646",4.4,"1,137",https://www.amazon.com/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847NT23G/ref=sr_1_130?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&smid=A2NO2EI687PB79&sprefix=ba%2Caps%2C283&sr=8-130
126,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",999,4.2,451,https://www.amazon.com/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_131?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-131
127,"Good Friends Waterproof, Laptop College School Bag + Digital Watches Combo (Military +Green)",699,4.0,"1,223",https://www.amazon.com/Good-Friends-Waterproof-College-Military/dp/B082DK21NT/ref=sr_1_132?crid=2M096C61O4MLT&keywords=bags&qid=1658673189&sprefix=ba%2Caps%2C283&sr=8-132
128,"uppercase Medium 19L Laptop Backpack 1600EBP1 Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty","1,100",5.0,23,https://www.amazon.com/uppercase-Backpack-1600EBP1-repellent-sustainable/dp/B0B68ZS5G1/ref=sr_1_131?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&sprefix=ba%2Caps%2C283&sr=8-131
129,Baggit Women Satchel Handbag (GREY),599,4.2,504,https://www.amazon.com/Baggit-Womens-Satchel-Handbag-Grey/dp/B098TKJG1L/ref=sr_1_132?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=8-132
130,Amazon Brand - Eden & Ivy Autumn-Winter'20 womens Amazon Brand - Eden & Ivy Handbag (Black),599,4.2,891,https://www.amazon.com/Amazon-Brand-Autumn-Winter20-womens-Handbag/dp/B08H89HSRV/ref=sr_1_133?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=8-133
131,"Genie Gypsy 21 litres Red Laptop Backpack (17 inch, 2 Compartments, Water Resistant)","1,121",3.9,35,https://www.amazon.com/Genie-litres-Salmon-Laptop-Backpack/dp/B07SXRTZH9/ref=sr_1_134?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&sprefix=ba%2Caps%2C283&sr=8-134
132,"Safari Crew Overnighter Backpack, 40 Ltr Water Resistant Travel Laptop Bag, Black Polyester Bagpack for Men and Women, Spacious Shoulder Bag for Travelling and Camping","1,999",Null,Null,https://www.amazon.com/Safari-Overnighter-Resistant-Polyester-Travelling/dp/B097JK3X9D/ref=sr_1_135?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-135
133,"Skybags Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)","1,150",4.0,446,https://www.amazon.com/Skybags-Arthur-Laptop-Backpack-Grey/dp/B07SRFGK6H/ref=sr_1_136?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&sprefix=ba%2Caps%2C283&sr=8-136
134,Grear Office Laptop Bag/School Bag/Multipurpose Bag for Men & Women,425,3.8,29,https://www.amazon.com/Grear-Office-Laptop-School-Multipurpose/dp/B093QBPJVH/ref=sr_1_137?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&sprefix=ba%2Caps%2C283&sr=8-137
135,"Kuber Industries Disney Mickey Mouse 15 inch Polyster School Bag/Backpack for Kids, Red & Black-DISNEY001",599,4.3,309,https://www.amazon.com/Kuber-Industries-Polyster-Backpack-Black-DISNEY001/dp/B085SK6TB3/ref=sr_1_138?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&sprefix=ba%2Caps%2C283&sr=8-138
136,Lenovo Casual Laptop Briefcase T210 (Toploader) 39.62 cm (15.6-inch) Water Repellent Black,799,4.2,"43,222",https://www.amazon.com/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_141?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-141
137,"BEAUTY GIRLS 1531 Polyester Waterproof 30 L Floral Printed School, College Tuition Laptop Backpack Bag for Girls & Women",879,4.3,752,https://www.amazon.com/BEAUTY-GIRLS-Polyester-Waterproof-Backpack/dp/B08YRFQHQX/ref=sr_1_142?crid=2M096C61O4MLT&keywords=bags&qid=1658673190&smid=A2II2NOIORNN01&sprefix=ba%2Caps%2C283&sr=8-142
